stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,platform_code,ext_id,city_name,direction_id
AST-34-A,,Mairie,,47.48105600,-2.39712800,,,1,,0,,,CAMOEL,
AST-40,,Mairie,,47.48296700,-2.34338550,,,1,,0,,,FEREL,
AST-PST02,,Mairie de Pornichet,,47.26410000,-2.34016000,,,1,,0,,,PORNICHET,
AST-358,,Mairie du Guezy,,47.27161700,-2.34508100,,,1,,0,,,LA BAULE,
AST-357,,Mairie du Guézy,,47.27169820,-2.34513329,,,1,,0,,,LA BAULE,
AST-113-114,,Maison du Guézy,,47.27506645,-2.33415360,,,1,,0,,,LA BAULE,
AST-105-A-105-B,,Maison Médicale,,47.28791740,-2.38325865,,,1,,0,,,LA BAULE,
AST-183-184,,Manoir,,47.34913030,-2.48676370,,,1,,0,,,LA TURBALLE,
AST-137-138,,Marché,,47.28592880,-2.39571910,,,1,,0,,,LA BAULE,
AST-294,,Marché,,47.37804900,-2.54743520,,,1,,0,,,PIRIAC / MER,
AST-MPO01-MPO02,,Marché de Pornichet,,47.25992269,-2.33791549,,,1,,0,,,PORNICHET,
AST-100-99,,Marlais,,47.41105180,-2.29852075,,,1,,0,,,HERBIGNAC,
AST-253-A-253-B,,Maréchal Juin,,47.26768475,-2.44033441,,,1,,0,,,LE POULIGUEN,
AST-141-A-141-B,,Mazy,,47.27403003,-2.35569050,,,1,,0,,,LA BAULE,
AST-44-A-44-B,,Miroux,,47.35560600,-2.43296990,,,1,,0,,,GUERANDE,
AST-208,,Mont-Esprit,,47.29185323,-2.50842957,,,1,,0,,,LE CROISIC,
AST-MLA01-MLA02,,Moulin d'Argent,,47.25345000,-2.31243995,,,1,,0,,,PORNICHET,
AST-14-A-14-B,,Moulin de la falaise,,47.28011513,-2.48855708,,,1,,0,,,BATZ/MER,
AST-308-309,,Moulin de Praillane,,47.36674365,-2.52200975,,,1,,0,,,PIRIAC / MER,
AST-CHP02,,Notre Dame des Dunes,,47.26600000,-2.34070000,,,1,,0,,,PORNICHET,
AST-226,,Océan,,47.28451190,-2.51311820,,,1,,0,,,LE CROISIC,
AST-263-A-263-B,,Océan,,47.27128310,-2.43412265,,,1,,0,,,LE POULIGUEN,
AST-340-A-OCE01,,Océanis,,47.25813015,-2.26657589,,,1,,0,,,SAINT NAZAIRE,
AST-212-A-212-B,,Océarium,,47.30053847,-2.52283412,,,1,,0,,,LE CROISIC,
AST-286-287,,Office de tourisme,,47.48056355,-2.47343875,,,1,,0,,,PENESTIN,
AST-30-A-30-B,,Olivier Guichard,,47.27806333,-2.46044879,,,1,,0,,,BATZ/MER,
AST-11035323,,Parc Lassalle,,47.27687700,-2.33229100,,,1,,0,,,PORNICHET,
AST-11035328,,Parc Lassalle (PORNICHET),,47.27701100,-2.33203500,,,1,,0,,,,
AST-293-A-293-B,,Pen Ar Ran,,47.37432320,-2.55009980,,,1,,0,,,PIRIAC / MER,
AST-19-20,,Petit Bois,,47.27532800,-2.48250880,,,1,,0,,,BATZ/MER,
AST-PTN01-PTN02,,Petit Canon,,47.25580000,-2.30373490,,,1,,0,,,PORNICHET,
AST-92-A-92-B,,Petit Poissevin,,47.34606265,-2.39942500,,,1,,0,,,GUERANDE,
AST-285,,Phare de Tréhiguier,,47.49303600,-2.44142200,,,1,,0,,,PENESTIN,
AST-218,,Pierre Longue,,47.28737850,-2.52846680,,,1,,0,,,LE CROISIC,
AST-337-A-337-B,,Pigeon Blanc,,47.37703745,-2.45977600,,,1,,0,,,SAINT MOLF,
AST-139-140,,Place des Palmiers,,47.28111925,-2.36833270,,,1,,0,,,LA BAULE,
AST-4-5,,Pont d'Armes,,47.41507500,-2.40015995,,,1,,0,,,ASSERAC,
AST-378-6,,Pont Mahé,,47.44728266,-2.45004677,,,1,,0,,,ASSERAC,
AST-216,,Port aux Rocs,,47.29370160,-2.54683280,,,1,,0,,,LE CROISIC,
AST-PDE01-PDE02,,Port d'échouage,,47.26085595,-2.34139665,,,1,,0,,,PORNICHET,
AST-215,,Port Val,,47.29882640,-2.54142660,,,1,,0,,,LE CROISIC,
AST-234-264,,Porte Joie,,47.27939475,-2.43252910,,,1,,0,,,LE POULIGUEN,
AST-58,,Porte Saint-Michel,,47.32676275,-2.42747118,,,1,,0,,,GUERANDE,
AST-POU01-POU02,,Pouligou,,47.25005000,-2.30859000,,,1,,0,,,,
AST-163-A-163-B,,Prevenerie,,47.29733190,-2.36789655,,,1,,0,,,LA BAULE,
AST-221-A-221-B,,Pré Neuf,,47.29255298,-2.52662689,,,1,,0,,,LE CROISIC,
